product_id,product_name,category,is_subscription,billing_cycle,base_price_usd,first_release_date,vendor,resale_model,brand_safe_name,product_name_orig,base_price_usd_orig,base_key,product_version
PROD0001,Microsoft 365 Business Standard Monthly,Productivity Suite,TRUE,Monthly,49.0,24-11-2023,Microsoft,Direct resale,Office Suite 365 Business Standard Monthly,Microsoft 365 Business Standard Monthly,49.0,Microsoft 365 Business Standard,v3.0
PROD0002,Microsoft 365 Business Standard Annual,Productivity Suite,TRUE,Annual,499.0,27-02-2023,Microsoft,Direct resale,Office Suite 365 Business Standard Annual,Microsoft 365 Business Standard Annual,499.0,Microsoft 365 Business Standard,v3.0
PROD0003,Adobe Creative Cloud All Apps Monthly,Productivity Suite,TRUE,Monthly,29.0,13-01-2023,Adobe,Direct resale,Creative Suite Creative Cloud All Apps Monthly,Adobe Creative Cloud All Apps Monthly,29.0,Adobe Creative Cloud All Apps,v3.0
PROD0004,Adobe Creative Cloud All Apps Annual,Productivity Suite,TRUE,Annual,299.0,21-05-2023,Adobe,Direct resale,Creative Suite Creative Cloud All Apps Annual,Adobe Creative Cloud All Apps Annual,299.0,Adobe Creative Cloud All Apps,v3.0
PROD0005,AI Analytics Add‑on Monthly,Add-on,TRUE,Monthly,15.0,06-05-2023,AI Tools,Marketplace,AI Analytics Add‑on Monthly,AI Analytics Add‑on Monthly,15.0,Ai Analytics Add‑On,v3.0
PROD0006,AI Analytics Add‑on Annual,Add-on,TRUE,Annual,149.0,25-04-2023,AI Tools,Marketplace,AI Analytics Add‑on Annual,AI Analytics Add‑on Annual,149.0,Ai Analytics Add‑On,v3.0
PROD0007,Team Seats Add‑on Monthly,Add-on,TRUE,Monthly,9.0,13-03-2023,Other,Affiliate,Team Seats Add‑on Monthly,Team Seats Add‑on Monthly,9.0,Team Seats Add‑On,v3.0
PROD0008,Team Seats Add‑on Annual,Add-on,TRUE,Annual,89.0,22-02-2023,Other,Affiliate,Team Seats Add‑on Annual,Team Seats Add‑on Annual,89.0,Team Seats Add‑On,v3.0
PROD0009,Perpetual License (Legacy) One-time,Perpetual,FALSE,One-time,199.0,13-12-2023,Other,Affiliate,Perpetual License (Legacy) One-time,Perpetual License (Legacy) One-time,199.0,Perpetual License (Legacy) One-Time,v3.0
PROD0010,Priority Support Monthly,Support,TRUE,Monthly,25.0,07-10-2023,Other,Affiliate,Priority Support Monthly,Priority Support Monthly,25.0,Priority Support,v3.0
PROD0011,Priority Support Annual,Support,TRUE,Annual,249.0,14-02-2023,Other,Affiliate,Priority Support Annual,Priority Support Annual,249.0,Priority Support,v3.0
PROD0012,Onboarding Training Pack One-time,Services,FALSE,One-time,399.0,30-10-2023,AI Tools,Marketplace,Onboarding Training Pack One-time,Onboarding Training Pack One-time,399.0,Onboarding Training Pack One-Time,v3.0
PROD0013,Zoom Pro Monthly,Collaboration,TRUE,Monthly,14.99,01-02-2024,Zoom,Direct resale,Video Meeting Pro Pro Monthly,Zoom Pro Monthly,14.99,Zoom Pro,v4.0
PROD0014,Zoom Pro Annual,Collaboration,TRUE,Annual,149.9,01-02-2024,Zoom,Direct resale,Video Meeting Pro Pro Annual,Zoom Pro Annual,149.9,Zoom Pro,v4.0
PROD0015,Slack Pro Monthly,Collaboration,TRUE,Monthly,8.75,01-02-2024,Slack,Direct resale,Team Chat Pro Pro Monthly,Slack Pro Monthly,8.75,Slack Pro,v4.0
PROD0016,Slack Pro Annual,Collaboration,TRUE,Annual,105.0,01-02-2024,Slack,Direct resale,Team Chat Pro Pro Annual,Slack Pro Annual,105.0,Slack Pro,v4.0
PROD0017,GitHub Copilot Business Monthly,Developer Tools,TRUE,Monthly,19.0,01-02-2024,GitHub,Affiliate,DevTools AI Helper Business Monthly,GitHub Copilot Business Monthly,19.0,Github Copilot Business,v4.0
PROD0018,GitHub Copilot Business Annual,Developer Tools,TRUE,Annual,228.0,01-02-2024,GitHub,Affiliate,DevTools AI Helper Business Annual,GitHub Copilot Business Annual,228.0,Github Copilot Business,v4.0
PROD0019,Figma Professional Monthly,Design,TRUE,Monthly,15.0,01-02-2024,Figma,Marketplace,Design Cloud Professional Monthly,Figma Professional Monthly,15.0,Figma Professional,v4.0
PROD0020,Figma Professional Annual,Design,TRUE,Annual,144.0,01-02-2024,Figma,Marketplace,Design Cloud Professional Annual,Figma Professional Annual,144.0,Figma Professional,v4.0
PROD0021,Notion Plus Monthly,Productivity,TRUE,Monthly,10.0,01-02-2024,Notion,Marketplace,Workspace Suite Plus Monthly,Notion Plus Monthly,10.0,Notion Plus,v4.0
PROD0022,Notion Plus Annual,Productivity,TRUE,Annual,96.0,01-02-2024,Notion,Marketplace,Workspace Suite Plus Annual,Notion Plus Annual,96.0,Notion Plus,v4.0
PROD0023,Jira Software Standard Monthly,Project Management,TRUE,Monthly,8.0,01-02-2024,Atlassian,Direct resale,Project Tracker Software Standard Monthly,Jira Software Standard Monthly,8.0,Jira Software Standard,v4.0
PROD0024,Jira Software Standard Annual,Project Management,TRUE,Annual,84.0,01-02-2024,Atlassian,Direct resale,Project Tracker Software Standard Annual,Jira Software Standard Annual,84.0,Jira Software Standard,v4.0
PROD0025,JetBrains All Products Pack Monthly,Developer Tools,TRUE,Monthly,29.0,01-02-2024,JetBrains,Direct resale,Code Studio All Products Pack Monthly,JetBrains All Products Pack Monthly,29.0,Jetbrains All Products Pack,v4.0
PROD0026,JetBrains All Products Pack Annual,Developer Tools,TRUE,Annual,289.0,01-02-2024,JetBrains,Direct resale,Code Studio All Products Pack Annual,JetBrains All Products Pack Annual,289.0,Jetbrains All Products Pack,v4.0
PROD0027,Zoom Whiteboard Add‑on Monthly,Add-on,TRUE,Monthly,7.0,01-02-2024,Zoom,Direct resale,Video Meeting Pro Whiteboard Add‑on Monthly,Zoom Whiteboard Add‑on Monthly,7.0,Zoom Whiteboard Add‑On,v4.0
